"","island_id","latitude","longitude","area","log10_area_1","d_mainland","log10_dist_1","buffer_1k","buffer_5k","time_since_fire","basal_area_total","basal_area_living","basal_area_dead","total_cwd_volume","cwd_dc1","cwd_dc2","cwd_dc3","cwd_dc4","cwd_dc5"
"1","BB","55.24411","-105.53696",6.25,0.860338007,351.3,2.546912643,0.869499,0.434585,4,0.21226456,0,0.21226456,7.440404784,1.789863195,2.758870328,2.286143964,0.307907496,0.297619801
"2","BC","55.25512","-104.79148",23.3,1.385606274,1757.8,3.245216457,0.926695,0.723636,210,0.473053489,0.466260564,0.006792925,3.061023683,0.686594917,0.596015811,0.608919118,0.337672751,0.831821085
"3","BS","55.27949","-104.68333",350.4,2.545801757,273.7,2.438858659,0.844489,0.514373,67,1.074252056,0.831459783,0.242792273,0.377534143,0.278041631,0.059545747,0.02703097,0.008823006,0.004092788
"4","BT","55.35421","-105.42362",1.8,0.447158031,685.2,2.836450714,0.792544,0.368261,4,0.360107471,0,0.360107471,9.130497516,1.701132524,5.889731536,1.284858852,0,0.254774603
"5","CC","55.14742","-105.17054",21.1,1.344392274,135.1,2.133858125,0.617589,0.703608,159,0.671502077,0.627841691,0.043660386,3.200009627,0.415001798,1.235154929,0.716027164,0.558400423,0.275425313
"6","CD","55.174796","-105.03769",3.2,0.62324929,3868.4,3.587643627,0.989155,0.834758,193,0.55701589,0.52905565,0.02796024,2.012336571,1.379991854,0.219687569,0.136596763,0.14324186,0.132818526
"7","CG","55.11320","-105.23056",1.6,0.414973348,240.5,2.382917135,0.829955,0.586796,101,1.143785874,0.96280144,0.180984434,8.255960666,5.76784913,1.454676622,0.297084002,0.165594213,0.570756699
"8","DF","55.32805","-105.46613",38.3,1.59439255,343.9,2.537693194,0.777406,0.38782,4,0.268239233,0,0.268239233,5.255182756,3.127523895,2.057948256,0.069710606,0,0
"9","DN","55.51974","-104.55754",29.1,1.478566496,109.7,2.044147621,0.640519,0.34274,13,0.099820413,0.025086461,0.074733952,15.47049805,1.121616043,6.399323155,7.840991777,0.097117939,0.011449142
"10","DS","55.22910","-105.02702",101,2.008600172,205.6,2.315130317,0.890539,0.736979,180,0.705460417,0.654961553,0.050498864,3.892147413,1.151605529,1.706654423,0.533599355,0.339810526,0.160477579
"11","EB","55.22623","-105.25530",13.78,1.169674434,267.3,2.428620673,0.635729,0.251301,4,0.385698944,0,0.385698944,5.190003348,2.856771465,2.136334134,0.124577658,0.072320091,0
"12","EI","55.29275","-105.39983",2.9,0.591064607,152.8,2.186956335,0.765684,0.465271,62,0.530693209,0.40887924,0.121813969,0.417260289,0.060057748,0.083901258,0.046584164,0.167774242,0.058942876
"13","EL","55.20326","-104.93073",10,1.041392685,6936.8,3.841221776,0.799719,0.803964,102,1.057927517,0.971593207,0.08633431,3.256595836,2.330384736,0.464605582,0.312319077,0.030457191,0.11882925
"14","FD","55.49500","-104.5073",35.7,1.564666064,68.4,1.84135947,0.799137,0.38442,13,0.266181485,0.193578323,0.072603161,10.55841837,0.030275371,1.220351745,7.585529086,1.722262169,0
"15","HI","55.39557","-104.13373",35,1.556302501,18.5,1.290034611,0.364841,0.215365,38,1.214776609,0.911884743,0.302891866,15.46525576,0.669088078,0.334969411,5.366391759,5.043934998,4.050871512
"16","HU","55.16724","-104.53011",1.2,0.342422681,3150.1,3.498462186,0.990543,0.900354,9,0.056157671,0.035033552,0.021124118,4.9012137,0.729077889,3.307874954,0.703069743,0.050130944,0.11106017
"17","IL","55.35871","-104.41045",19.8,1.318063335,454.7,2.658679029,0.851573,0.439878,24,0.065176419,0.065176419,0,10.71120942,1.846113805,5.000347991,2.49692339,0.994494638,0.373329592
