project,organization,location,recording_date,recording_time,status,latitude,longitude,buffer_radius_m,species_code,scientific_name,species_english_name,species_class,method,rain,wind,noise,industry_noise,audio_quality,species_individual_name,transcriber,abundance,confidence,Vocalization,Interval,daily_weather_station_nm,daily_weather_station_elevation,daily_weather_station_distance,daily_min_temp,daily_max_temp,daily_mean_temp,daily_total_rain_mm,daily_total_snow_cm,daily_precipitation_mm,daily_snow_on_ground_cm,hourly_weather_station_nm,hourly_weather_station_elevation,hourly_weather_station_distance,hourly_temp,hourly_dew_point,hourly_rel_humidity,hourly_precipitation_mm,hourly_wind_direction,hourly_wind_speed,hourly_visibility_km,hourly_station_pressure,hourly_humidex,hourly_wind_chill,hourly_weather_attributes,comment,species_comment,original_file_name
SK Pyrodiversity,ECCC,13-UEB53-HI,2019-06-11,5:20:14,Transcribed,55.39557,-104.13373,,COLO,Gavia immer,Common Loon,AVES,3m 1SPR,0,0,0,0,None,2,Robert Wapple,1,Confident,Call,1-2 min,LA RONGE A,379.20m,77km,-1.6,18.5,8.5,0,0,0,,LA RONGE RCS,378.60m,77km,1.5,-1.4,81,0,35,3,,97.47,,,NA,,,13-UEB53-HI_20190611_052014.wav
SK Pyrodiversity,ECCC,13-UEB53-HI,2019-06-11,5:20:14,Transcribed,55.39557,-104.13373,,CORA,Corvus corax,Common Raven,AVES,3m 1SPR,0,0,0,0,None,1,Robert Wapple,1,Confident,Call,0-1 min,LA RONGE A,379.20m,77km,-1.6,18.5,8.5,0,0,0,,LA RONGE RCS,378.60m,77km,1.5,-1.4,81,0,35,3,,97.47,,,NA,,,13-UEB53-HI_20190611_052014.wav
SK Pyrodiversity,ECCC,13-UEB53-HI,2019-06-11,5:20:14,Transcribed,55.39557,-104.13373,,OVEN,Seiurus aurocapilla,Ovenbird,AVES,3m 1SPR,0,0,0,0,None,1,Robert Wapple,1,Confident,Song,0-1 min,LA RONGE A,379.20m,77km,-1.6,18.5,8.5,0,0,0,,LA RONGE RCS,378.60m,77km,1.5,-1.4,81,0,35,3,,97.47,,,NA,,,13-UEB53-HI_20190611_052014.wav
SK Pyrodiversity,ECCC,13-UEB53-HI,2019-06-11,5:20:14,Transcribed,55.39557,-104.13373,,PHVI,Vireo philadelphicus,Philadelphia Vireo,AVES,3m 1SPR,0,0,0,0,None,1,Robert Wapple,1,Confident,Song,0-1 min,LA RONGE A,379.20m,77km,-1.6,18.5,8.5,0,0,0,,LA RONGE RCS,378.60m,77km,1.5,-1.4,81,0,35,3,,97.47,,,NA,,,13-UEB53-HI_20190611_052014.wav
SK Pyrodiversity,ECCC,13-UEB53-HI,2019-06-11,5:20:14,Transcribed,55.39557,-104.13373,,RUGR,Bonasa umbellus,Ruffed Grouse,AVES,3m 1SPR,0,0,0,0,None,1,Robert Wapple,1,Confident,Non-vocal,0-1 min,LA RONGE A,379.20m,77km,-1.6,18.5,8.5,0,0,0,,LA RONGE RCS,378.60m,77km,1.5,-1.4,81,0,35,3,,97.47,,,NA,,,13-UEB53-HI_20190611_052014.wav
SK Pyrodiversity,ECCC,13-UEB53-HI,2019-06-11,5:20:14,Transcribed,55.39557,-104.13373,,WTSP,Zonotrichia albicollis,White-throated Sparrow,AVES,3m 1SPR,0,0,0,0,None,1,Robert Wapple,1,Confident,Song,0-1 min,LA RONGE A,379.20m,77km,-1.6,18.5,8.5,0,0,0,,LA RONGE RCS,378.60m,77km,1.5,-1.4,81,0,35,3,,97.47,,,NA,,,13-UEB53-HI_20190611_052014.wav
SK Pyrodiversity,ECCC,13-UEB53-HI,2019-06-11,5:20:14,Transcribed,55.39557,-104.13373,,YRWA,Setophaga coronata,Yellow-rumped Warbler,AVES,3m 1SPR,0,0,0,0,None,1,Robert Wapple,1,Confident,Song,1-2 min,LA RONGE A,379.20m,77km,-1.6,18.5,8.5,0,0,0,,LA RONGE RCS,378.60m,77km,1.5,-1.4,81,0,35,3,,97.47,,,NA,,"Sounds loose, two parted trill. Not emphatic enough for AMRE",13-UEB53-HI_20190611_052014.wav
SK Pyrodiversity,ECCC,13-UDB73-IL2,2019-06-11,5:21:00,Transcribed,55.35421,-105.42362,,ALFL,Empidonax alnorum,Alder Flycatcher,AVES,3m 1SPR,0,1,1,0,None,1,Avery Bartels,1,Confident,Song,0-1 min,LA RONGE A,379.20m,25km,-1.6,18.5,8.5,0,0,0,,LA RONGE RCS,378.60m,25km,1.5,-1.4,81,0,35,3,,97.47,,,NA,,,13-UDB73-IL2_20190611_052100.wav
SK Pyrodiversity,ECCC,13-UDB73-IL2,2019-06-11,5:21:00,Transcribed,55.35421,-105.42362,,CHSP,Spizella passerina,Chipping Sparrow,AVES,3m 1SPR,0,1,1,0,None,1,Avery Bartels,1,Confident,Song,0-1 min,LA RONGE A,379.20m,25km,-1.6,18.5,8.5,0,0,0,,LA RONGE RCS,378.60m,25km,1.5,-1.4,81,0,35,3,,97.47,,,NA,,,13-UDB73-IL2_20190611_052100.wav
SK Pyrodiversity,ECCC,13-UDB73-IL2,2019-06-11,5:21:00,Transcribed,55.35421,-105.42362,,COME,Mergus merganser,Common Merganser,AVES,3m 1SPR,0,1,1,0,None,1,Avery Bartels,1,Confident,Call,0-1 min,LA RONGE A,379.20m,25km,-1.6,18.5,8.5,0,0,0,,LA RONGE RCS,378.60m,25km,1.5,-1.4,81,0,35,3,,97.47,,,NA,,flyby,13-UDB73-IL2_20190611_052100.wav
SK Pyrodiversity,ECCC,13-UDB73-IL2,2019-06-11,5:21:00,Transcribed,55.35421,-105.42362,,COTE,Sterna hirundo,Common Tern,AVES,3m 1SPR,0,1,1,0,None,1,Avery Bartels,1,Confident,Call,0-1 min,LA RONGE A,379.20m,25km,-1.6,18.5,8.5,0,0,0,,LA RONGE RCS,378.60m,25km,1.5,-1.4,81,0,35,3,,97.47,,,NA,,calling with COTE2,13-UDB73-IL2_20190611_052100.wav
SK Pyrodiversity,ECCC,13-UDB73-IL2,2019-06-11,5:21:00,Transcribed,55.35421,-105.42362,,COTE,Sterna hirundo,Common Tern,AVES,3m 1SPR,0,1,1,0,None,2,Avery Bartels,1,Confident,Call,0-1 min,LA RONGE A,379.20m,25km,-1.6,18.5,8.5,0,0,0,,LA RONGE RCS,378.60m,25km,1.5,-1.4,81,0,35,3,,97.47,,,NA,,calling with COTE1,13-UDB73-IL2_20190611_052100.wav
SK Pyrodiversity,ECCC,13-UDB73-IL2,2019-06-11,5:21:00,Transcribed,55.35421,-105.42362,,SOSP,Melospiza melodia,Song Sparrow,AVES,3m 1SPR,0,1,1,0,None,1,Avery Bartels,1,Confident,Song,0-1 min,LA RONGE A,379.20m,25km,-1.6,18.5,8.5,0,0,0,,LA RONGE RCS,378.60m,25km,1.5,-1.4,81,0,35,3,,97.47,,,NA,,,13-UDB73-IL2_20190611_052100.wav
